"Statistic Label"                                      ,"Census Year" ,"Sex"        ,"Citizenship"                                                          ,"Administrative County"                 ,"UNIT"   ,"VALUE"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Israel"                                                               ,"Meath County Council"                  ,"Number" ,"8"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Israel"                                                               ,"Offaly County Council"                 ,"Number" ,"2"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Israel"                                                               ,"Westmeath County Council"              ,"Number" ,"0"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Israel"                                                               ,"Wexford County Council"                ,"Number" ,"2"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Israel"                                                               ,"Wicklow County Council"                ,"Number" ,"4"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Israel"                                                               ,"Clare County Council"                  ,"Number" ,"8"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Israel"                                                               ,"Cork City Council"                     ,"Number" ,"21"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Israel"                                                               ,"Cork County Council"                   ,"Number" ,"9"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Israel"                                                               ,"Kerry County Council"                  ,"Number" ,"3"
"Population Usually Resident and Present in the State" ,"2022"        ,"Female"     ,"Israel"                                                               ,"Limerick City & County Council"        ,"Number" ,"3"
